"null","Sourced","Placed","References","Value","LCSC","Quantity"
1,"","","C3, C7, C8, C9, C10, C11","100nF","C38141",6
2,"","","C1, C4, C5","22uF","C11366",3
3,"","","C2","1U","C215803",1
4,"","","C6","10uF","C7171",1
5,"","","R4, R5, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R23, R25",220,"C17557",19
6,"","","R1, R2, R3, R24","10k","C17414",4
7,"","","R6","100k","C149504",1
8,"","","D1, D3, D4","5.0V","C383211",3
9,"","","D2, D5, D8","30V","C124187",3
10,"","","U4, U5","74HC595","C5947",2
11,"","","U6, U7","ULN2803","C2758014",2
12,"","","U1","CP2102","C6568",1
13,"","","U2","BUZZER","C95299",1
14,"","","U3","ESP32-WROOM-32E","C701341",1
15,"","","U8"," AP2112","C3021085",1
16,"","","LED1, LED2, LED5, LED6, LED7, LED8, LED9, LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20","RED","C84256",18
17,"","","K1, K2, K3, K4, K5, K6, K7, K8, K9, K10, K11, K12, K13, K14, K15, K16","5V","C35449",16
18,"","","T1, T2, T3","BC817","C52801",3
19,"","","S1, S2","SPST","C318884",2
20,"","","PU1","IRM-10-5","",1
21,"","","J5, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20","3P","C441355",16
22,"","","J1","USB-A-MICRO-TOP","C437032",1
23,"","","J2","2P","C441354",1
24,"","","J3","12P","C158028",1
25,"","","P3, P4, P5, P6, P7, P8, P9, P10, P11, P12, P13, P14, P15, P16, P17, P18","3P","C440881",16
26,"","","P1","2P","C440880",1
27,"","","P2","12P","C157960",1
28,"","","P19","IPEX-SMA","C1509178",1
